p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,label
0.7853742241859436,0.4120336174964905,3.160266146551294e-07,0.7697272300720215,0.38740721344947815,-0.03765309974551201,0.7742161154747009,0.3400365710258484,-0.05028162896633148,0.8147700428962708,0.3009532392024994,-0.05693577975034714,0.8485990762710571,0.27139461040496826,-0.06309889256954193,0.7553294897079468,0.24429792165756226,-0.027157088741660118,0.7388346195220947,0.17638379335403442,-0.040502697229385376,0.7288885116577148,0.13148170709609985,-0.052523933351039886,0.7208564877510071,0.09185856580734253,-0.06241888180375099,0.7862043380737305,0.232567697763443,-0.021817747503519058,0.7881840467453003,0.1531917154788971,-0.030364954844117165,0.7918195724487305,0.10408604145050049,-0.042243342846632004,0.7928203344345093,0.06147719919681549,-0.051578667014837265,0.8110331892967224,0.2463589757680893,-0.02088802121579647,0.8336741328239441,0.18547958135604858,-0.038351546972990036,0.8487071394920349,0.1459311842918396,-0.057382695376873016,0.8581916093826294,0.10694427788257599,-0.07094842195510864,0.8310700058937073,0.27932024002075195,-0.02269413135945797,0.846791684627533,0.25533992052078247,-0.04336958006024361,0.8451871275901794,0.2777091860771179,-0.05087349936366081,0.8410806655883789,0.3009607195854187,-0.05535677447915077,W
0.78519207239151,0.41331708431243896,3.0522551242029294e-07,0.7696182131767273,0.38744476437568665,-0.03575631603598595,0.7749255299568176,0.34128034114837646,-0.046493567526340485,0.8166677355766296,0.303747296333313,-0.051495131105184555,0.8506224155426025,0.2758992910385132,-0.05546148493885994,0.757295548915863,0.2465435266494751,-0.02285478450357914,0.7394859194755554,0.17903068661689758,-0.03552797809243202,0.7295080423355103,0.1350453495979309,-0.04655231162905693,0.721543550491333,0.09639407694339752,-0.055194247514009476,0.7880524396896362,0.23536460101604462,-0.01847238466143608,0.7894107699394226,0.15394353866577148,-0.026599213480949402,0.793554961681366,0.10406863689422607,-0.03683716058731079,0.7952318787574768,0.06241035461425781,-0.044219400733709335,0.8129992485046387,0.2491975724697113,-0.018794871866703033,0.8347257375717163,0.18922114372253418,-0.03563797101378441,0.8498135209083557,0.14895567297935486,-0.05292769521474838,0.8596190214157104,0.1083270013332367,-0.06453019380569458,0.8333057165145874,0.28356462717056274,-0.021897340193390846,0.8481003046035767,0.25771310925483704,-0.03968053311109543,0.8444787859916687,0.2805539667606354,-0.04423321783542633,0.8385229110717773,0.30566495656967163,-0.0465487539768219,W
0.7850022315979004,0.4132186770439148,2.9975410598126473e-07,0.7696073055267334,0.39010071754455566,-0.03666359931230545,0.773073673248291,0.3444562554359436,-0.04873459413647652,0.8127431869506836,0.305825799703598,-0.054820716381073,0.8472998738288879,0.27650290727615356,-0.059896040707826614,0.7565205097198486,0.24787688255310059,-0.026706408709287643,0.7393600344657898,0.18004553020000458,-0.04002094641327858,0.72906494140625,0.13503184914588928,-0.051001738756895065,0.7214740514755249,0.09520551562309265,-0.05985921621322632,0.7869923114776611,0.2364894449710846,-0.021948397159576416,0.7891353368759155,0.15554329752922058,-0.031350988894701004,0.7935004830360413,0.1059536337852478,-0.04145517572760582,0.7951381802558899,0.06345266103744507,-0.048717789351940155,0.8118882179260254,0.2503790855407715,-0.021671965718269348,0.8357232809066772,0.18938082456588745,-0.03978583216667175,0.8509527444839478,0.1492411494255066,-0.057076554745435715,0.8607396483421326,0.10869216918945312,-0.06873204559087753,0.832345724105835,0.2847808301448822,-0.02411840483546257,0.8484227061271667,0.26135432720184326,-0.04376300051808357,0.8436998724937439,0.28587326407432556,-0.04936734586954117,0.8371032476425171,0.31156837940216064,-0.05229327455163002,W
0.7846493124961853,0.4148605763912201,3.12411174263616e-07,0.769729733467102,0.3898700475692749,-0.035700999200344086,0.7739977836608887,0.3447461724281311,-0.04757777228951454,0.8138390183448792,0.30651745200157166,-0.05389634147286415,0.8478854298591614,0.2780723571777344,-0.05945497751235962,0.7580599188804626,0.2473829686641693,-0.024119576439261436,0.7403783202171326,0.18043416738510132,-0.03663966804742813,0.7301751971244812,0.135954350233078,-0.0476389043033123,0.7225215435028076,0.0969148576259613,-0.05657508596777916,0.7880774140357971,0.2367844581604004,-0.0199233740568161,0.7910443544387817,0.15686815977096558,-0.028212016448378563,0.795873761177063,0.10618551075458527,-0.03859169781208038,0.7981481552124023,0.06389756500720978,-0.046279892325401306,0.8124361038208008,0.25197768211364746,-0.020230839028954506,0.8360714912414551,0.1908358633518219,-0.037548553198575974,0.8515985608100891,0.15022581815719604,-0.05549457296729088,0.8623462319374084,0.11063893139362335,-0.06785557419061661,0.8324546813964844,0.28704461455345154,-0.023212796077132225,0.8472976684570312,0.263552188873291,-0.04329337179660797,0.8410505056381226,0.2883894145488739,-0.04968496784567833,0.8334664106369019,0.3146298825740814,-0.05316058173775673,W
0.786422073841095,0.41511958837509155,3.148758196402923e-07,0.7699512839317322,0.38918405771255493,-0.035701438784599304,0.7734286189079285,0.3428466320037842,-0.047313936054706573,0.8148562908172607,0.30590298771858215,-0.053186967968940735,0.8495839834213257,0.2804114520549774,-0.05803503096103668,0.7584999203681946,0.24723213911056519,-0.024983827024698257,0.7415826916694641,0.17919832468032837,-0.03807239234447479,0.7316305637359619,0.13462810218334198,-0.04922333359718323,0.7238218188285828,0.09541989862918854,-0.05808086693286896,0.7892792820930481,0.2372753620147705,-0.020987065508961678,0.7921541333198547,0.15578767657279968,-0.030310707166790962,0.7967708706855774,0.10534590482711792,-0.04104531556367874,0.7986136078834534,0.06237894296646118,-0.04869983717799187,0.8138737082481384,0.2524321973323822,-0.021418321877717972,0.8373072147369385,0.1923307478427887,-0.03925248980522156,0.8528673052787781,0.15196716785430908,-0.056702181696891785,0.8630698919296265,0.11194124817848206,-0.06832235306501389,0.8337147235870361,0.2875993251800537,-0.024527037516236305,0.8492379188537598,0.262570858001709,-0.04324229806661606,0.8436400294303894,0.2856813371181488,-0.048129837960004807,0.8354460000991821,0.31079280376434326,-0.05060422047972679,W
0.7868675589561462,0.4163846969604492,3.285722129930946e-07,0.7714597582817078,0.3903822898864746,-0.03458661958575249,0.7755956649780273,0.3446038067340851,-0.046487461775541306,0.8151838779449463,0.30668145418167114,-0.05311281979084015,0.849124014377594,0.2794339656829834,-0.059359654784202576,0.7586661577224731,0.24727989733219147,-0.024695592001080513,0.742010772228241,0.17808878421783447,-0.03740610182285309,0.7326522469520569,0.13275356590747833,-0.04848981276154518,0.725190281867981,0.09341828525066376,-0.05747799202799797,0.7897158861160278,0.23625172674655914,-0.020962879061698914,0.7933912873268127,0.154805988073349,-0.02994363196194172,0.7987713813781738,0.10476836562156677,-0.04146633669734001,0.8016374707221985,0.0624263733625412,-0.04987769201397896,0.8145540952682495,0.25136759877204895,-0.021307364106178284,0.8378490805625916,0.19125883281230927,-0.03850698098540306,0.854322075843811,0.15119096636772156,-0.056591108441352844,0.8660237789154053,0.11188037693500519,-0.0690959095954895,0.8340604901313782,0.28582096099853516,-0.02409367449581623,0.8491289019584656,0.262010782957077,-0.043071258813142776,0.8454657196998596,0.2846805453300476,-0.04885292798280716,0.8408430814743042,0.30808478593826294,-0.052074331790208817,W
0.7841811180114746,0.4167341887950897,3.152008503093384e-07,0.767974853515625,0.39165014028549194,-0.035755548626184464,0.7715784907341003,0.34613755345344543,-0.04846949130296707,0.8114403486251831,0.3096621334552765,-0.05544281750917435,0.8465304374694824,0.28267911076545715,-0.06178462505340576,0.7583456635475159,0.24799270927906036,-0.027456413954496384,0.7419580817222595,0.18014666438102722,-0.04077409952878952,0.73243248462677,0.1351761668920517,-0.05208975449204445,0.7254690527915955,0.09600226581096649,-0.061312235891819,0.7890251874923706,0.23846310377120972,-0.023744050413370132,0.7937371730804443,0.15600572526454926,-0.03241899609565735,0.7999654412269592,0.10531902313232422,-0.043081093579530716,0.803287923336029,0.06252852082252502,-0.051239147782325745,0.8132466077804565,0.2544410228729248,-0.024320701137185097,0.8387689590454102,0.19195932149887085,-0.04210106283426285,0.8552185297012329,0.1500452756881714,-0.06106289103627205,0.8660707473754883,0.10952979326248169,-0.07435035705566406,0.8331121206283569,0.2905455231666565,-0.027431044727563858,0.8482620120048523,0.26665258407592773,-0.04774124547839165,0.8419152498245239,0.2909289002418518,-0.05469108745455742,0.8334048390388489,0.3171297311782837,-0.05887090042233467,W
0.7837532162666321,0.41932547092437744,3.3037670732483093e-07,0.7674267888069153,0.39375537633895874,-0.038976505398750305,0.7737486362457275,0.347225546836853,-0.05112609267234802,0.8163678646087646,0.3108026087284088,-0.056499917060136795,0.8511356115341187,0.2830725610256195,-0.0610516294836998,0.7585136294364929,0.24924726784229279,-0.028044797480106354,0.7421575784683228,0.18194469809532166,-0.041189659386873245,0.7323685884475708,0.1366259604692459,-0.05242285504937172,0.725168764591217,0.09701389074325562,-0.06134511157870293,0.7900521755218506,0.23940123617649078,-0.021912608295679092,0.7959228754043579,0.15752428770065308,-0.03030378557741642,0.8030197024345398,0.10715952515602112,-0.04065830260515213,0.8074399828910828,0.0640842616558075,-0.048198044300079346,0.8146442770957947,0.25478312373161316,-0.020457513630390167,0.8410412073135376,0.19467459619045258,-0.03851086273789406,0.8578576445579529,0.1535378396511078,-0.05790020897984505,0.869094967842102,0.11229823529720306,-0.07100409269332886,0.8335436582565308,0.2905758321285248,-0.021810011938214302,0.848387598991394,0.2689846158027649,-0.042442966252565384,0.8418066501617432,0.2958102226257324,-0.049567028880119324,0.8332688808441162,0.32314741611480713,-0.053476616740226746,W
0.7865778803825378,0.41734030842781067,3.40742417392903e-07,0.7694178223609924,0.394042432308197,-0.03676900267601013,0.7733555436134338,0.34832149744033813,-0.04951747506856918,0.8146529197692871,0.3112826347351074,-0.056105103343725204,0.8488547801971436,0.28412720561027527,-0.06191220134496689,0.7598169445991516,0.24868892133235931,-0.029361160472035408,0.7425966262817383,0.17979305982589722,-0.043150175362825394,0.732779324054718,0.1337757557630539,-0.05459006875753403,0.7255635857582092,0.09395135939121246,-0.06349553167819977,0.7911342978477478,0.23794209957122803,-0.024306582286953926,0.7973894476890564,0.1563098430633545,-0.032928042113780975,0.8057062029838562,0.10612401366233826,-0.04265807569026947,0.8110196590423584,0.06438997387886047,-0.049819763749837875,0.8151844143867493,0.25259703397750854,-0.02352968603372574,0.841106116771698,0.19266699254512787,-0.040579527616500854,0.8591738343238831,0.15256574749946594,-0.057551708072423935,0.871309757232666,0.11383660137653351,-0.06919630616903305,0.8337069749832153,0.28686457872390747,-0.025467829778790474,0.849583625793457,0.2655799090862274,-0.044457823038101196,0.8454771041870117,0.28898942470550537,-0.049959003925323486,0.8386597037315369,0.3139178156852722,-0.05280817300081253,W
0.7869033217430115,0.4168367087841034,3.5274968013254693e-07,0.7692469954490662,0.39153334498405457,-0.03778954595327377,0.7733855247497559,0.34658828377723694,-0.05080332234501839,0.81468665599823,0.3094859719276428,-0.057326555252075195,0.848654568195343,0.2814856767654419,-0.06299441307783127,0.7599188685417175,0.2464361935853958,-0.02935038134455681,0.7440816164016724,0.17718505859375,-0.04261075705289841,0.734697699546814,0.1311500519514084,-0.053891055285930634,0.7279955148696899,0.09059204161167145,-0.0630357638001442,0.7919909954071045,0.23616506159305573,-0.024103909730911255,0.798169732093811,0.1541009247303009,-0.03333861753344536,0.8065686225891113,0.10324765741825104,-0.04446813091635704,0.8122708797454834,0.06014673411846161,-0.05276940390467644,0.8163715600967407,0.2518841624259949,-0.023154351860284805,0.8417524099349976,0.1914849579334259,-0.041328467428684235,0.8610007762908936,0.15166276693344116,-0.06001102179288864,0.874405562877655,0.11287929117679596,-0.07278087735176086,0.8354333639144897,0.2872445285320282,-0.024815049022436142,0.8497471809387207,0.262759268283844,-0.04444508254528046,0.8446148037910461,0.28654810786247253,-0.05065493285655975,0.836868166923523,0.3118845820426941,-0.05421813577413559,W
